Admit ID,Trial Last Internal Rating,Trial Techability Score,Trial Learnability Score,Trial Communicability Score,Practice Head,RFP Tech Ability,RFP Learnability,RFP Communicability,RFP Avg TRACK Score,Consider,TechCategory,Prediction
CIC072022-12481,Meets expectations,1.595,2.0,1.0,Sunil,1.37,1.54,0.7,3.61,Consider ,FullStack,FullStack_DeepTech
CIC062022-12374,Meets expectations,1.5925,1.44,0.94,Sunil,1.435714286,1.665714286,0.8871428571,3.988571429,Consider ,FullStack,FullStack_DeepTech
CIC042022-11876,Improvement needed,1.365,1.32,0.595,Sunil,0.78,0.9588095238,0.5157142857,2.25452381,Consider ,BasicTech,BasicTech
CIC062022-12373,Meets expectations,1.5225,1.395,1.0,Sunil,1.16,1.524285714,0.88,3.564285714,Consider ,BasicTech,FullStack_DeepTech
CIC072022-12509,Improvement needed,1.19,1.225,0.63,Sunil,0.7425,0.9566666667,0.5842857143,2.283452381,Consider ,BasicTech,BasicTech
CIC072022-12462,Meets expectations,1.305,1.465,0.85,Ashish,1.026666667,1.316666667,0.82,3.163333333,Consider ,BasicTech,AdvTech_1_2
CIC072022-12528,Improvement needed,1.085,1.41,0.82,Ashish,1.56875,1.635,0.895,4.09875,Consider ,FullStack,FullStack_DeepTech
CIC072022-12550,Meets expectations,1.305,1.5,0.82,Ashish,1.085,1.44,0.685,3.21,Consider ,BasicTech,AdvTech_1_2
CIC072022-12578,Improvement needed,1.05,1.41,0.82,Ashish,1.369166667,1.526666667,0.82,3.715833333,Consider ,FullStack,FullStack_DeepTech
CIC072022-12576,Meets expectations,1.37,1.585,0.85,Ashish,1.3675,1.46,0.8,3.6275,Consider ,AdvTech-2,FullStack_DeepTech
CIC072022-12579,Improvement needed,1.12,1.41,0.82,Ashish,1.085,1.33,0.82,3.235,Consider ,BasicTech,AdvTech_1_2
CIC072022-12603,Meets expectations,1.335,1.56,0.85,Ashish,1.3135,1.462,0.806,3.5815,Consider ,FullStack,AdvTech_1_2
CIC072022-12503,Meets expectations,1.345,1.255,0.725,Gunjan,1.29,1.325,0.76,3.375,Consider ,BasicTech,AdvTech_1_2
CIC072022-12563,Meets expectations,1.33,1.4,0.7,Gunjan,1.349,1.329,0.735,3.413,Consider ,AdvTech-2,AdvTech_1_2
CIC072022-12561,Meets expectations,1.63,1.82,0.94,Gunjan,1.19,1.19,0.725,3.105,Consider ,BasicTech,BasicTech
CIC072022-12484,Meets expectations,1.46,1.485,0.79,Gunjan,1.341,1.357,0.7,3.398,Consider ,AdvTech-2,AdvTech_1_2
CIC072022-12594,Meets expectations,1.31,1.64,0.88,Gunjan,1.37,1.484285714,0.7857142857,3.64,Consider ,FullStack,FullStack_DeepTech
CIC072022-12554,Unsatisfactory,0.91,1.43,0.61,Gunjan,1.127,1.323,0.622,3.072,Consider ,BasicTech,BasicTech
CIC072022-12446,Meets expectations,1.58,1.67,0.85,Ashish,1.108333333,1.53,0.82,3.458333333,Consider ,AdvTech-2,AdvTech_1_2
CIC072022-12520,Meets expectations,1.605,1.64,0.85,Ashish,1.325,1.45,0.82,3.595,Consider ,FullStack,FullStack_DeepTech
CIC072022-12556,Meets expectations,1.32,1.4,0.7,Ashish,1.255,1.496666667,0.82,3.571666667,Consider ,FullStack,AdvTech_1_2
CIC072022-12616,Exceeds expectations,1.89,1.57,0.88,Ashish,1.3225,1.5,0.92,3.7425,Consider ,FullStack,FullStack_DeepTech
CIC072022-12496,Meets expectations,1.53,1.7,0.88,Ashish,1.228333333,1.473333333,0.8533333333,3.555,Consider ,FullStack,FullStack_DeepTech
CIC072022-12607,Meets expectations,1.25,1.24,0.55,Gunjan,1.64,1.475,0.7,3.815,Consider ,FullStack,FullStack_DeepTech
CIC072022-12476,Meets expectations,1.365,1.4,0.7,Gunjan,1.549,1.428,0.706,3.683,Consider ,FullStack,FullStack_DeepTech
CIC072022-12475,Improvement needed,1.33,1.4,0.7,Gunjan,1.514444444,1.411111111,0.6922222222,3.617777778,Consider ,AdvTech-2,AdvTech_1_2
CIC072022-12610,Meets expectations,1.115,1.015,0.52,Gunjan,1.467777778,1.414444444,0.72,3.602222222,Consider ,AdvTech-2,AdvTech_1_2
CIC072022-12625,Meets expectations,1.4,1.43,0.82,Gunjan,1.6,1.473333333,0.7066666667,3.78,Consider ,FullStack,FullStack_DeepTech
CIC072022-12652,Unsatisfactory,0.945,0.875,0.525,Gunjan,1.447777778,1.375555556,0.6844444444,3.507777778,Consider ,BasicTech,AdvTech_1_2
CIC072022-12650,Meets expectations,1.4,1.08,0.7,Gunjan,1.58,1.437777778,0.7666666667,3.784444444,Consider ,FullStack,FullStack_DeepTech
CIC072022-12641,Meets expectations,1.505,1.4,0.7,Gunjan,1.526666667,1.43,0.7066666667,3.663333333,Consider ,AdvTech-2,FullStack_DeepTech
CIC072022-12572,Meets expectations,1.54,1.445,0.815,Gunjan,1.572222222,1.46,0.7,3.732222222,Consider ,FullStack,FullStack_DeepTech
CIC072022-12637,Improvement needed,1.295,1.33,0.665,Gunjan,1.478,1.416,0.693,3.587,Consider ,AdvTech-1,AdvTech_1_2
CIC072022-12608,Meets expectations,0.94,1.01,0.455,Gunjan,1.340909091,1.503636364,0.8090909091,3.653636364,Consider ,AdvTech-2,AdvTech_1_2
CIC072022-12642,Meets expectations,1.26,1.11,0.63,Gunjan,1.395555556,1.606666667,0.8466666667,3.848888889,Consider ,AdvTech-2,FullStack_DeepTech
CIC072022-12575,Unsatisfactory,0.79,0.745,0.625,Nagendra,1.23,1.213333333,0.6,3.043333333,Consider ,BasicTech,BasicTech
CIC072022-12611,Meets expectations,1.285,1.34,0.655,Gunjan,1.383,1.526,0.79,3.699,Consider ,AdvTech-2,FullStack_DeepTech
CIC072022-12615,Meets expectations,1.4,1.4,0.49,Gunjan,1.267,1.361,0.735,3.363,Consider ,BasicTech,BasicTech
CIC072022-12645,Improvement needed,1.295,1.4,0.7,Gunjan,1.323,1.456,0.76,3.539,Consider ,AdvTech-1,AdvTech_1_2
CIC082022-12670,Meets expectations,1.47,1.67,0.88,Gunjan,1.383333333,1.7,0.81,3.893333333,Consider ,AdvTech-2,FullStack_DeepTech
CIC082022-12659,Improvement needed,1.18,1.295,0.7,Ashish,1.385,1.4475,0.68,3.5125,Consider ,FullStack,AdvTech_1_2
CIC072022-12519,Improvement needed,1.43,1.61,0.76,Gunjan,0.9516666667,1.61,0.88,3.441666667,Consider ,AdvTech-1,FullStack_DeepTech
CIC072022-12597,Exceeds expectations,1.62,1.495,0.905,Sunil,1.5,1.525,0.82,3.845,Consider ,FullStack,FullStack_DeepTech
CIC072022-12609,Exceeds expectations,1.845,1.66,1.0,Sunil,1.455416667,1.513333333,0.82,3.78875,Consider ,FullStack,FullStack_DeepTech
CIC082022-12696,Exceeds expectations,1.725,1.54,0.97,Sunil,1.795,1.84,0.9,4.535,Consider ,FullStack,FullStack_DeepTech
CIC082022-12699,Meets expectations,1.455,1.375,1.0,Sunil,1.3785,1.53,0.856,3.7645,Consider ,BasicTech,FullStack_DeepTech
CIC082022-12713,Meets expectations,1.45,1.345,1.0,Sunil,1.504166667,1.588333333,0.8083333333,3.900833333,Consider ,BasicTech,FullStack_DeepTech
CIC082022-12695,Meets expectations,1.38,1.61,0.91,Ashish,1.316666667,1.455,0.7483333333,3.52,Consider ,FullStack,AdvTech_1_2
CIC082022-12676,Meets expectations,1.43,1.5,0.82,Ashish,1.31,1.596666667,0.7566666667,3.663333333,Consider ,FullStack,FullStack_DeepTech
CIC082022-12693,Improvement needed,1.05,1.4,0.7,Ashish,1.371666667,1.453333333,0.66,3.485,Consider ,FullStack,AdvTech_1_2
CIC082022-12677,Exceeds expectations,1.55,1.7,0.85,Sunil,1.63625,1.7,0.925,4.26125,Consider ,FullStack,FullStack_DeepTech
CIC082022-12718,Improvement needed,0.735,0.805,0.35,Sunil,1.005625,1.635,0.79,3.430625,Consider ,BasicTech,AdvTech_1_2
CIC082022-12717,Improvement needed,0.945,1.05,0.35,Sunil,1.4575,1.635,0.925,4.0175,Consider ,FullStack,FullStack_DeepTech
CIC082022-12706,Meets expectations,1.55,1.535,0.725,Sunil,1.63125,1.79,0.94,4.36125,Consider ,AdvTech-2,FullStack_DeepTech
CIC082022-12716,Meets expectations,1.48,2.0,0.91,Gunjan,1.16,1.453333333,0.9166666667,3.53,Consider ,AdvTech-2,FullStack_DeepTech
CIC082022-12762,Meets expectations,1.47,1.7,0.88,Ashish,1.550625,1.505,0.85,3.905625,Consider ,FullStack,FullStack_DeepTech
CIC082022-12785,Meets expectations,1.53,1.76,0.88,Ashish,1.3375,1.5275,0.69,3.555,Consider ,FullStack,AdvTech_1_2
CIC082022-12784,Meets expectations,1.62,1.95,0.94,Ashish,1.531875,1.5875,0.79,3.909375,Consider ,FullStack,FullStack_DeepTech
CIC072022-12654,Meets expectations,1.56,1.7,0.88,Ashish,1.47375,1.4,0.645,3.51875,Consider ,AdvTech-1,FullStack_DeepTech
CIC082022-12737,Unsatisfactory,0.79,1.24,0.68,Ashish,1.278125,1.39,0.6375,3.305625,Consider ,BasicTech,BasicTech
CIC082022-12735,Meets expectations,1.55,1.7,0.94,Ashish,1.535,1.515,0.745,3.795,Consider ,AdvTech-2,FullStack_DeepTech
CIC082022-12736,Improvement needed,0.86,1.45,0.68,Ashish,1.425,1.5325,0.725,3.6825,Consider ,BasicTech,FullStack_DeepTech
CIC082022-12743,Improvement needed,0.86,1.45,0.715,Ashish,1.2125,1.259375,0.670625,3.1425,Consider ,BasicTech,BasicTech
CIC082022-12820,Meets expectations,1.365,1.365,0.725,Ashish,1.65125,1.715,0.94,4.30625,Consider ,FullStack,FullStack_DeepTech
CIC072022-12644,Meets expectations,1.67,1.535,0.91,Sunil,1.664,1.496,0.712,3.872,Consider ,FullStack,FullStack_DeepTech
CIC082022-12694,Meets expectations,1.49,1.55,0.79,Sunil,1.718,1.508,0.736,3.962,Consider ,FullStack,FullStack_DeepTech
CIC082022-12796,Exceeds expectations,1.58,1.52,0.7,Sunil,1.729,1.474,0.748,3.951,Consider ,FullStack,FullStack_DeepTech
